symbol,timestamp,open,high,low,close,volume,trade_index
SPY,2025-11-13T09:50:00Z,678.18,679.2,678.13,678.52,1091988,131
SPY,2025-11-13T09:55:00Z,678.54,679.39,678.42,678.8,690104,132
SPY,2025-11-13T10:00:00Z,678.78,679.45,677.97,678.17,1022388,133
SPY,2025-11-13T10:05:00Z,678.17,680.0102,678.14,679.95,1053441,134
SPY,2025-11-13T10:10:00Z,679.97,680.6,679.62,680.43,1077205,135
SPY,2025-11-13T10:15:00Z,680.44,680.86,680.0017,680.05,986897,136
SPY,2025-11-13T10:20:00Z,680.04,680.35,679.29,679.7245,795086,137
SPY,2025-11-13T10:25:00Z,679.71,679.73,678.76,678.94,730479,138
SPY,2025-11-13T10:30:00Z,678.95,679.03,677.73,677.79,1042060,139
SPY,2025-11-13T10:35:00Z,677.79,678.19,677.205,677.7423,1295060,140
SPY,2025-11-13T10:40:00Z,677.72,678.01,677.13,677.26,1078214,141
SPY,2025-11-13T10:45:00Z,677.24,677.31,675.975,676.21,1474385,142
SPY,2025-11-13T10:50:00Z,676.21,676.39,675.48,675.61,1112394,143
SPY,2025-11-13T10:55:00Z,675.62,676.5395,675.34,676.48,1660525,144
SPY,2025-11-13T11:00:00Z,676.48,676.81,675.79,675.83,1035792,145
SPY,2025-11-13T11:05:00Z,675.83,676.06,675.25,676.01,1010408,146
SPY,2025-11-13T11:10:00Z,676.01,676.01,675.41,675.88,815596,147
SPY,2025-11-13T11:15:00Z,675.89,676.29,675.09,675.6,769236,148
SPY,2025-11-13T11:20:00Z,675.61,676.21,675.21,675.25,857686,149
SPY,2025-11-13T11:25:00Z,675.25,675.97,674.96,675.73,918603,150
SPY,2025-11-13T11:30:00Z,675.72,676.51,675.45,676.37,804454,151
SPY,2025-11-13T11:35:00Z,676.375,676.62,674.77,674.82,1151387,152
SPY,2025-11-13T11:40:00Z,674.82,674.99,674.22,674.51,820755,153
SPY,2025-11-13T11:45:00Z,674.51,675.09,674.31,674.9975,695114,154
SPY,2025-11-13T11:50:00Z,674.99,675.4,674.47,674.79,667124,155
SPY,2025-11-13T11:55:00Z,674.79,675.4,674.39,675.19,651478,156
SPY,2025-11-13T12:00:00Z,675.195,675.605,674.64,675.57,635907,157
SPY,2025-11-13T12:05:00Z,675.57,676,674.65,674.72,845991,158
SPY,2025-11-13T12:10:00Z,674.73,675.06,674.33,674.58,617658,159
SPY,2025-11-13T12:15:00Z,674.55,675.59,674.55,675.12,1988694,160
SPY,2025-11-13T12:20:00Z,675.13,675.94,675.05,675.73,716176,161
SPY,2025-11-13T12:25:00Z,675.75,676.17,675.28,675.92,815180,162
SPY,2025-11-13T12:30:00Z,675.9,676.5,675.87,676.1507,752191,163
SPY,2025-11-13T12:35:00Z,676.17,676.22,675.37,676.135,598738,164
SPY,2025-11-13T12:40:00Z,676.14,676.17,675.09,675.12,491559,165
SPY,2025-11-13T12:45:00Z,675.13,675.18,674.31,674.8544,858807,166
SPY,2025-11-13T12:50:00Z,674.85,675.09,674.46,674.81,666731,167
SPY,2025-11-13T12:55:00Z,674.83,674.84,673.97,674.15,664075,168
SPY,2025-11-13T13:00:00Z,674.16,674.53,674.08,674.18,671669,169
SPY,2025-11-13T13:05:00Z,674.2,674.76,673.97,674.14,693891,170
SPY,2025-11-13T13:10:00Z,674.1,674.6599,673.77,674.48,525961,171
SPY,2025-11-13T13:15:00Z,674.49,674.61,673.59,673.64,871399,172
SPY,2025-11-13T13:20:00Z,673.65,674.03,673.34,673.52,679289,173
SPY,2025-11-13T13:25:00Z,673.51,673.54,672.595,672.83,1701511,174
SPY,2025-11-13T13:30:00Z,672.82,672.89,672.42,672.46,937785,175
SPY,2025-11-13T13:35:00Z,672.46,672.62,671.64,671.79,1164747,176
SPY,2025-11-13T13:40:00Z,671.8,672.56,671.52,672.555,1533988,177
SPY,2025-11-13T13:45:00Z,672.54,672.895,672.13,672.5,800587,178
SPY,2025-11-13T13:50:00Z,672.51,672.875,672.24,672.32,1246252,179
SPY,2025-11-13T13:55:00Z,672.33,672.8099,672.15,672.69,750681,180
SPY,2025-11-13T14:00:00Z,672.68,672.87,671.81,672.11,885055,181
SPY,2025-11-13T14:05:00Z,672.08,672.46,671.6859,672.15,801831,182
SPY,2025-11-13T14:10:00Z,672.15,672.35,671.59,671.72,662564,183
SPY,2025-11-13T14:15:00Z,671.74,672.43,671.58,671.94,516736,184
SPY,2025-11-13T14:20:00Z,671.95,672.87,671.85,672.67,866836,185
SPY,2025-11-13T14:25:00Z,672.67,673.55,672.65,673.54,1863432,186
SPY,2025-11-13T14:30:00Z,673.51,673.63,672.88,673.3,1206241,187
SPY,2025-11-13T14:35:00Z,673.29,673.5,672.33,672.76,1247719,188
SPY,2025-11-13T14:40:00Z,672.75,672.75,671.86,672.4,700043,189
SPY,2025-11-13T14:45:00Z,672.41,672.66,671.64,671.85,741868,190
SPY,2025-11-13T14:50:00Z,671.87,672.48,671.37,671.38,975357,191
SPY,2025-11-13T14:55:00Z,671.39,671.95,670.52,671.69,1283936,192
SPY,2025-11-13T15:00:00Z,671.68,671.96,671.225,671.28,1120242,193
SPY,2025-11-13T15:05:00Z,671.28,671.96,670.97,671.87,774154,194
SPY,2025-11-13T15:10:00Z,671.88,672.03,671.245,671.6054,879165,195
SPY,2025-11-13T15:15:00Z,671.62,672.06,671.13,671.185,1426879,196
SPY,2025-11-13T15:20:00Z,671.17,671.29,670.53,671.23,1448351,197
SPY,2025-11-13T15:25:00Z,671.24,671.67,670.77,671.63,1085619,198
SPY,2025-11-13T15:30:00Z,671.62,672.0856,671.4,672.03,1091788,199
SPY,2025-11-13T15:35:00Z,672,672.78,671.96,672.635,1315106,200
SPY,2025-11-13T15:40:00Z,672.66,673.02,672.03,672.34,2007851,201
SPY,2025-11-13T15:45:00Z,672.335,672.62,671.545,671.56,1974806,202
SPY,2025-11-13T15:50:00Z,671.55,672.41,670.76,670.815,2727978,203
SPY,2025-11-13T15:55:00Z,670.81,672.08,670.81,672.06,6170244,204
SPY,2025-11-13T16:00:00Z,672.06,683.38,672.02,672.95,4194002,205
SPY,2025-11-13T16:05:00Z,672.96,683.1481,670.975,673.335,1102161,206
SPY,2025-11-13T16:10:00Z,672.04,683.1481,671.8392,673.51,10216900,207
SPY,2025-11-13T16:15:00Z,673.53,673.69,672.04,673.43,114985,208
SPY,2025-11-13T16:20:00Z,673.44,673.47,671.8298,672.88,347045,209
SPY,2025-11-13T16:25:00Z,672.91,673.13,672.75,673.0007,36014,210
SPY,2025-11-13T16:30:00Z,673.05,673.18,672.04,672.63,117123,211
SPY,2025-11-13T16:35:00Z,672.66,683.1481,672.4,672.55,342034,212
SPY,2025-11-13T16:40:00Z,672.535,672.66,672.48,672.55,40259,213
SPY,2025-11-13T16:45:00Z,672.565,672.565,671.8448,672.35,183734,214
SPY,2025-11-13T16:50:00Z,672.36,672.39,672.07,672.16,41824,215
SPY,2025-11-13T16:55:00Z,672.16,672.2205,672,672.11,763200,216
SPY,2025-11-14T08:00:00Z,665.7385,672.78,664.71,666.21,247011,217
SPY,2025-11-14T08:05:00Z,666.22,672.04,665.55,665.7692,39503,218
SPY,2025-11-14T08:10:00Z,665.75,666.05,665.2,665.99,77595,219
SPY,2025-11-14T08:15:00Z,665.98,666.021,665.175,665.175,34664,220
SPY,2025-11-14T08:20:00Z,665.17,665.21,664.26,664.74,99030,221
SPY,2025-11-14T08:25:00Z,664.71,665.14,664.68,664.94,162069,222
SPY,2025-11-14T08:30:00Z,665,665.2105,664.33,664.5,119599,223
SPY,2025-11-14T08:35:00Z,664.51,664.63,664.2,664.34,63140,224
SPY,2025-11-14T08:40:00Z,664.31,664.66,663.97,664.2502,86672,225
SPY,2025-11-14T08:45:00Z,664.28,672.04,664.17,665.38,119322,226
SPY,2025-11-14T08:50:00Z,665.38,665.7794,665.07,665.57,89146,227
SPY,2025-11-14T08:55:00Z,665.53,665.69,665.12,665.4288,49414,228
SPY,2025-11-14T09:00:00Z,665.43,666.0299,665,666.0073,74939,229
SPY,2025-11-14T09:05:00Z,665.99,666.26,665.87,665.9907,171709,230
SPY,2025-11-14T09:10:00Z,666.04,666.04,665.52,665.535,39645,231
SPY,2025-11-14T09:15:00Z,665.53,666.1325,665.45,666.07,36904,232
SPY,2025-11-14T09:20:00Z,666.06,666.15,665.84,665.99,41268,233
SPY,2025-11-14T09:25:00Z,666,666,665.189,665.42,124345,234
SPY,2025-11-14T09:30:00Z,665.38,665.88,663.265,663.61,4272797,235
SPY,2025-11-14T09:35:00Z,663.605,666.47,663.545,665.98,2821945,236
SPY,2025-11-14T09:40:00Z,665.97,666.86,665.452,666.72,1940259,237
SPY,2025-11-14T09:45:00Z,666.7,668.37,666.45,667.85,2258023,238
SPY,2025-11-14T09:50:00Z,667.85,668.48,667.18,668.06,1850850,239
SPY,2025-11-14T09:55:00Z,668.05,668.845,667.9,668.69,1669443,240
SPY,2025-11-14T10:00:00Z,668.68,668.75,667.41,667.59,1527929,241
SPY,2025-11-14T10:05:00Z,667.6,668.92,667.31,668.38,1222317,242
SPY,2025-11-14T10:10:00Z,668.36,668.78,666.92,667.55,1576347,243
SPY,2025-11-14T10:15:00Z,667.52,669.17,667.43,668.39,1317131,244
SPY,2025-11-14T10:20:00Z,668.4,669.17,667.9412,668.21,1101428,245
SPY,2025-11-14T10:25:00Z,668.21,669.96,667.54,669.79,1395217,246
SPY,2025-11-14T10:30:00Z,669.78,670.11,669.16,669.77,1357067,247
SPY,2025-11-14T10:35:00Z,669.755,671,669.5,670.91,1447893,248
SPY,2025-11-14T10:40:00Z,670.89,671.2289,670.55,671.07,1248179,249
SPY,2025-11-14T10:45:00Z,671.04,672.82,670.87,672.27,1816956,250
SPY,2025-11-14T10:50:00Z,672.28,672.78,672.0319,672.31,946961,251
SPY,2025-11-14T10:55:00Z,672.31,672.35,671.48,672.24,3277134,252
SPY,2025-11-14T11:00:00Z,672.25,672.57,671.18,671.35,1519573,253
SPY,2025-11-14T11:05:00Z,671.36,672.3,670.89,671.72,1071887,254
SPY,2025-11-14T11:10:00Z,671.72,672.55,671.51,672.12,1214010,255
SPY,2025-11-14T11:15:00Z,672.13,673.12,672.12,672.96,721520,256
SPY,2025-11-14T11:20:00Z,672.96,673.98,672.47,673.96,1015335,257
SPY,2025-11-14T11:25:00Z,673.96,674.87,673.87,674.395,1256088,258
SPY,2025-11-14T11:30:00Z,674.4,674.48,672.76,673.8,988045,259
SPY,2025-11-14T11:35:00Z,673.81,674.85,673.69,674.7,654059,260
SPY,2025-11-14T11:40:00Z,674.73,675.02,673.75,673.92,722405,261
SPY,2025-11-14T11:45:00Z,673.93,674.17,673.17,674.11,746772,262
SPY,2025-11-14T11:50:00Z,674.105,674.63,674.08,674.52,645185,263
SPY,2025-11-14T11:55:00Z,674.52,674.82,674.1912,674.74,823366,264
SPY,2025-11-14T12:00:00Z,674.715,674.88,674.205,674.835,573455,265
SPY,2025-11-14T12:05:00Z,674.82,675.09,674.45,674.94,536199,266
SPY,2025-11-14T12:10:00Z,674.94,675.64,674.94,675.26,673398,267
SPY,2025-11-14T12:15:00Z,675.28,675.43,674.72,675.27,511147,268
SPY,2025-11-14T12:20:00Z,675.289,675.42,674.96,675.05,528355,269
SPY,2025-11-14T12:25:00Z,675.03,675.17,674.34,675.05,704266,270
SPY,2025-11-14T12:30:00Z,675.055,675.09,674.2,674.69,634525,271
SPY,2025-11-14T12:35:00Z,674.7,675.66,674.69,675.485,701455,272
SPY,2025-11-14T12:40:00Z,675.485,675.5,674.57,674.81,592295,273
SPY,2025-11-14T12:45:00Z,674.78,675.22,673.92,673.95,733418,274
SPY,2025-11-14T12:50:00Z,673.96,674.33,673.13,674.1701,1279605,275
SPY,2025-11-14T12:55:00Z,674.17,674.38,673.7,674.045,797394,276
SPY,2025-11-14T13:00:00Z,674.05,674.07,672.45,672.59,1355741,277
SPY,2025-11-14T13:05:00Z,672.59,673.29,672.21,673.2899,899017,278
SPY,2025-11-14T13:10:00Z,673.29,674.36,672.94,674.29,876810,279
SPY,2025-11-14T13:15:00Z,674.26,674.29,672.88,673.0507,559461,280
SPY,2025-11-14T13:20:00Z,673.05,673.14,672.14,672.62,722259,281
SPY,2025-11-14T13:25:00Z,672.64,673.175,672.29,673.13,593110,282
SPY,2025-11-14T13:30:00Z,673.11,673.645,672.795,673.37,785508,283
SPY,2025-11-14T13:35:00Z,673.35,673.45,672.071,672.24,637214,284
SPY,2025-11-14T13:40:00Z,672.23,672.31,671.53,671.67,1174267,285
SPY,2025-11-14T13:45:00Z,671.66,672.01,671.49,671.85,719416,286
SPY,2025-11-14T13:50:00Z,671.88,673.6008,671.88,673.54,860417,287
SPY,2025-11-14T13:55:00Z,673.54,673.78,672.94,673.25,916539,288
SPY,2025-11-14T14:00:00Z,673.25,673.57,672.84,672.97,703459,289
